YEAR,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
2023-24,Dereck Lively II,DAL,24.0,25.6,9.4,4.3,5.7,74.5,0.0,0.1,0.0,0.9,1.6,55.3,2.9,5.0,7.8,1.1,0.6,1.5,1.2,17.1
2023-24,Kevin Love,MIA,23.0,18.7,9.3,2.9,6.8,42.7,1.9,5.1,36.8,1.7,2.0,80.9,0.9,5.9,6.7,2.6,0.4,0.1,0.7,14.2
2023-24,Grant Williams,DAL,27.0,29.1,9.1,3.1,7.5,42.1,2.0,5.2,39.3,0.8,1.3,64.7,1.1,2.7,3.8,1.7,0.4,0.7,0.9,10.1
2023-24,Alec Burks,DET,23.0,17.8,9.1,2.6,7.8,32.8,1.5,4.7,32.7,2.5,2.8,87.7,0.5,1.7,2.2,1.3,0.4,0.2,0.5,7.2
2023-24,Killian Hayes,DET,25.0,26.4,9.1,3.6,8.6,42.5,0.7,2.4,30.5,1.1,1.6,70.0,0.4,2.7,3.1,4.4,1.0,0.6,1.1,11.8
2023-24,Dante Exum,DAL,26.0,18.6,9.0,3.5,6.1,57.9,0.9,2.0,43.4,1.0,1.4,72.2,0.7,2.4,3.1,2.5,0.5,0.2,0.8,11.5
2023-24,Malaki Branham,SAS,29.0,22.3,8.9,3.7,8.3,44.4,1.0,3.2,31.2,0.5,0.6,93.8,0.2,1.8,2.0,2.5,0.4,0.1,1.3,8.0
2023-24,Bilal Coulibaly,WAS,28.0,26.7,8.9,3.3,6.3,52.0,1.2,2.8,41.8,1.1,1.8,65.3,0.7,3.3,4.0,1.8,1.0,0.7,1.5,11.2
2023-24,Brandin Podziemski,GSW,24.0,22.8,8.9,3.4,7.4,46.3,1.3,3.1,40.5,0.8,1.1,70.4,1.6,3.8,5.4,3.0,1.0,0.2,1.4,12.8
2023-24,Walker Kessler,UTA,23.0,24.8,8.8,4.0,6.8,58.6,0.1,0.6,21.4,0.7,1.3,51.6,3.1,5.1,8.2,0.9,0.4,2.8,1.3,16.4
2023-24,Nick Richards,CHA,22.0,22.4,8.8,3.3,4.7,69.9,0.0,0.0,0.0,2.2,2.8,80.3,2.3,4.8,7.1,0.7,0.4,1.3,1.0,15.2
2023-24,Simone Fontecchio,UTA,29.0,21.1,8.7,3.0,6.8,44.9,1.9,4.6,40.6,0.7,0.9,84.0,0.8,2.0,2.8,1.1,0.5,0.4,1.0,8.6
2023-24,Sam Hauser,BOS,29.0,22.6,8.6,3.0,6.6,44.8,2.4,5.7,41.6,0.3,0.3,80.0,0.9,2.6,3.4,1.0,0.5,0.3,0.5,9.6
2023-24,Christian Braun,DEN,32.0,19.8,8.4,3.2,6.7,47.0,0.8,1.8,41.4,1.3,1.8,75.0,0.8,2.9,3.7,1.7,0.4,0.3,0.8,9.8
2023-24,Chris Paul,GSW,27.0,27.4,8.3,3.0,7.7,39.4,1.1,3.6,31.3,1.1,1.3,88.2,0.3,3.5,3.8,7.6,1.3,0.0,1.2,15.0
2023-24,Precious Achiuwa,TOR,23.0,18.4,8.3,3.3,7.3,46.1,0.6,2.0,27.7,1.0,1.7,57.5,2.2,3.6,5.8,1.9,0.7,0.5,1.2,11.2
2023-24,Naji Marshall,NOP,22.0,19.5,8.2,2.7,6.0,44.4,1.1,2.8,40.3,1.7,2.1,78.7,1.1,2.9,4.0,2.4,0.7,0.2,1.1,10.6
2023-24,Moses Moody,GSW,30.0,18.2,8.1,2.9,6.2,47.6,1.0,3.0,33.7,1.3,1.7,76.0,1.2,2.0,3.2,0.9,0.7,0.3,0.8,8.8
2023-24,David Roddy,MEM,27.0,23.5,8.1,3.1,7.7,40.7,1.0,3.5,29.5,0.7,1.0,71.4,1.0,3.2,4.2,1.3,0.6,0.3,1.0,8.7
2023-24,Georges Niang,CLE,30.0,22.2,8.0,3.0,7.6,39.5,1.5,4.6,33.6,0.5,0.5,93.3,0.4,3.2,3.6,1.1,0.3,0.1,0.9,7.6
2023-24,Tre Jones,SAS,25.0,23.2,8.0,3.2,6.8,46.2,0.6,2.1,26.9,1.1,1.3,81.8,0.5,2.0,2.5,5.0,0.8,0.2,1.4,11.1
2023-24,Royce O'Neale,BKN,29.0,26.8,7.9,2.7,6.9,39.2,2.2,5.6,39.3,0.3,0.6,62.5,0.8,4.1,4.9,3.3,0.8,0.8,0.9,12.3
